
0.89975308642 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 1}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 5}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 100.0, 'classify__degree': 2, 'classify__gamma': 5}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 5}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 5}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 4}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 4}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 4}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 4}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 3}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 600.0, 'classify__degree': 2, 'classify__gamma': 3}
0.899259259259 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 3}
0.899259259259 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 3}
0.899259259259 --- {'classify__C': 100.0, 'classify__tol': 1e-05, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.899259259259 --- {'classify__C': 100.0, 'classify__tol': 1e-08, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 4}
0.898765432099 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 4}
0.898765432099 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 2}
0.898765432099 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 2}
0.898765432099 --- {'classify__C': 200.0, 'classify__tol': 1e-05, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__C': 200.0, 'classify__tol': 1e-08, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__C': 800.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__C': 800.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__C': 1000.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898765432099 --- {'classify__C': 1000.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898271604938 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 1}
0.898271604938 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 1}
0.898271604938 --- {'classify__C': 600.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.898271604938 --- {'classify__C': 600.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.897283950617 --- {'classify__C': 400.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.897283950617 --- {'classify__C': 400.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.897283950617 --- {'classify__C': 500.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.897283950617 --- {'classify__C': 500.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.896296296296 --- {'classify__C': 300.0, 'classify__tol': 1e-05, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.896296296296 --- {'classify__C': 300.0, 'classify__tol': 1e-08, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.895802469136 --- {'classify__C': 700.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.895802469136 --- {'classify__C': 700.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.895802469136 --- {'classify__C': 800.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.895802469136 --- {'classify__C': 800.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.894320987654 --- {'classify__C': 200.0, 'classify__tol': 1e-05, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.894320987654 --- {'classify__C': 200.0, 'classify__tol': 1e-08, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.893333333333 --- {'classify__C': 300.0, 'classify__tol': 1e-05, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.893333333333 --- {'classify__C': 300.0, 'classify__tol': 1e-08, 'classify__gamma': 5, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.893333333333 --- {'classify__C': 400.0, 'classify__tol': 1e-05, 'classify__gamma': 4, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
